ids, location, text
797195905,Rent Free in a Liberal's Head,@theangelofwrath @jennie_agent99 @firelightfenix @ap4liberty hawley is still ahead in the polls. as is  cruz  in texa https://t.co/syrvbn1sgx
1.01E+18,"Florida, USA","rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
2899263566,"Guntur, India","rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
2472682973,dtx,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4847121672,Gods Country-Trump Nation,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
1.01E+18,"Texas, USA","rt @tt45pac_: heads up texas!

we need all of you to vote! 

.@sen  cruz   on his close senate race in texas: ""success can breed complacency"
2675360665,"San Antonio, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
569425982,toronto canada,"midterm election poll: texas senate,  cruz  vs.   beto     via @nytimes https://t.co/g94uggorgt"
7.95E+17,Mississippi/Texas,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.16E+17,USA,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
7.86E+17,Arizona ,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.08E+17,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
303933058,USA,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
9.52E+17,,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
2904361496,," cruz   cruz  slightly leading  beto   beto  in texas senate race, polls show - mic https://t.co/zpibjbfrfa"
3236610031,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.46E+17,Peoples Republic of California,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
4504453394,"Austin, TX","rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
9.42E+17,"Florida, USA",@krassenstein thank you texas! we need you especially so we can possibly take the senate
292725126,,"rt @nate_cohn: we're fully in the field in texas, tennessee and nevada senate.
still very early in all three
https://t.co/yq9xd1eyso"
5739522,,"rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
21080252,"Columbus, Indiana","rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
1.04E+18,,"rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
138864672,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3236496950,USA,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.39E+17,"Dallas, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2324567046,"Phoenix, AZ","rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
3716270952,,rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
3133683903,"Baton Rouge, LA","rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
54582134,"Cincinnati, OH","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
716881447,"Chicago, IL",rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
7.16E+17,"New York, NY","rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
491295033,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1.00E+18,Lexington NC,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
1058756852,Houston Tx ,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
2162562761,,"rt @macchomhghaill:  #trump  #maga #kag
#nc
#nyc
#ohio
#utah
#iowa
#awmi
#texas
#florida
#kansas
#indiana
#nevada
#hannity
#arizona
#mon"
1591957393,"Houston, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2787087057,,"@  cruz   for senate?  is  cruz   cruz  ""tough as texas""? https://t.co/scomt31fp7 via @youtube"
423083149,,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
423083149,,rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
716112151,"Houston, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
134802934,eating panda express @ UC,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2307620083,"Cisco, TX","rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
1.04E+18,"Texas, USA","rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
2915292523,"Del Rio, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.41E+17,Argentina,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
8.45E+17,"Albertville, AL",rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
2291360478,"Austin, TX",from austin to houston. texas is turning up for positive change and that starts with electing @ beto   beto   to senat https://t.co/wiv9fpr4og
7.19E+17,"Liberty, MO",rt @thomaskaine5: poll:  cruz  leads  beto    beto   among hispanic voters in texas senate race https://t.co/4dgkfllybg
929958378,,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.55E+17,"Springfield, OH",rt @nashvilletea: new cbs poll shows marsha blackburn up 8%https://t.co/uehjjo1val https://t.co/7ujjv99f7j
2597151751,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1.02E+18,,rt @kimguilfoyle: guilfoyle came out guns blazing: were here to make sure you dont put a  beto  male in the u.s. senate!she declared to
2749906178,United States,"rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
7.06E+17,"Texas, USA",rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
8.61E+17,"Miami Beach, FL",rt @thomaskaine5: poll:  cruz  leads  beto    beto   among hispanic voters in texas senate race https://t.co/4dgkfllybg
1884723956,"Texas, USA","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
8.93E+17,"Texas, USA",rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
1195883928,,"rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.80E+17,"California, USA","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
138148530,"Long Beach, CA","rt @aynrandpaulryan: this is not a drill

 beto   beto  has pulled ahead of  cruz   cruz  for the first time.

47% to 45%

early voting in tex"
30554954,,"rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
81468030,Texan of MEX/PR Descent ,rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez
938674796,Fort Worth Texas,rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
621190517,Texas,rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
3111923358,"Tempe, AZ","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
22651514,Abounding to the needs!,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
9.46E+17,,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
470431420,"Dallas, TX","rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2370714456,"Oregon, USA","rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
621190517,Texas,"rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
7.42E+17,,rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
