 screen_name, location, text
lydia_collins,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
janee_jordan,,"RT @Politics_Polls: Texas Senate:
Ted Cruz 47% (+5)
Beto O'Rourke 42%

@EmersonPolling 10/1-5
https://t.co/Elbyig9wxa #TXsen"
trendyelephant,,"RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
markg123,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
StatesPoll,,"RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem)
Emerson 10/1-10/5. 500 LV
My Analysis Post: https:"
emolument2017,,"RT @aroseblush: TEXAS ~     Vote for 'BETO'  O'Rourke For US Senate 

      Immigration System Texans Can Trust
      Improving the Aff"
StatesPoll,,"RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem). CBS News/YouGov 10/2-10/5
My Analysis Post: https"
cruisingqueen98,FLORIDA,"RT @BetoORourke: ""About 1,750 area residents filled much of the Rudder Auditorium on the Texas A&amp;M campus on Friday to listen to U.S. Senat"
roxxanedub,"Michigan Center, MI",Voters in key Senate races say Kavanaugh battle is a motivator for the 2018 midterms https://t.co/ufdrECP6r9 https://t.co/fr4MpKn750
likewhoalillian,phx,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
FatVeganCommie,"Berlin, Germany","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
vadpradub,"CA, USA","RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
scootleelee,,"RT @aroseblush: TEXAS ~     Vote for 'BETO'  O'Rourke For US Senate 

      Immigration System Texans Can Trust
      Improving the Aff"
iowacard,Central Iowa,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Len21878832,"Texas, USA",RT @Peoples_Pundit: Yet another poll showing @SenTedCruz and @MarshaBlackburn at that critical 50-percent threshold. Not counting Kavanaugh
ksharbison,"California, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
carlyinNJ,"New Jersey, USA",RT @SocialPowerOne1: Voters in key Senate races say Kavanaugh battle is a motivator for the 2018 midterms https://t.co/2okFlmhiqF
BanRomulanbirds,Kaleefornia,RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
bartom265,,"RT @JRubinBlogger: Press keeps saying Trump is helping in Senate. But since 2016 Ohio, Wis , Penn and W Va arent really competitive at all"
ChaosMaster42,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
BrianPFarmer,Chicago,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
NBCNightlyNews,New York,"""We're in a very divided time. That's true in Texas, it's true nationally."" 

Sen. Ted Cruz talks to @LesterHoltNBC https://t.co/Mf7ZcI3LAF"
sdavidm2,"Florida, USA","RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
BillShedd,"Texas, USA","RT @JosephChez: TEXAS !! 

@BetoORourke is the real thing; Texan, honest, humbled, caring, knowledgeable, compelling, trustworthy, inspirin"
insomlea,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Pockabook,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
prarierancher,"Miami, AZ",RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
Trumpgot2go,,"RT @kazweida: (12) Here is a general consensus on key state senate races. 

Tossup: Wisconsin
Lean Republican: Florida, Michigan, Pennsylva"
bartom265,,"RT @JRubinBlogger: Press keeps saying Trump is helping in Senate. But since 2016 Ohio, Wis , Penn and W Va arent really competitive at all"
biddergalore,United States,RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
lovedbyGod79,,RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
stuartitter,,@NateSilver538 @HumanitarianGal Important for NS et al to give us good readings on races like the Texas Senate race https://t.co/yRMVdQtBVs
lcwiring,"California, USA","RT @StatesPoll: United States Senate election in Texas, 2018
Cruz(Rep) vs O'Rourke (Dem)
Emerson 10/1-10/5. 500 LV
My Analysis Post: https:"
hrh_orchid,,"RT @aroseblush: TEXAS ~     Vote for 'BETO'  O'Rourke For US Senate 

      Immigration System Texans Can Trust
      Improving the Aff"
sh_irredeemable,,RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
cm_schooley,"its too hot, louisiana","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Mikihart415,"Orlando, FL ","RT @LunaLuvgood2017: Beto O'Rourke has visited and talked with people in every one of the 254 counties in Texas, without taking a dime of b"
gabejmolina,Madrid,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
KatyOldenburg,universe,@MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax https://t.co/KmOcP8d3uY
IrreverentDuo,"Denver, CO","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
aroseblush,New England,"RT @aroseblush: TEXAS ~     Vote for 'BETO'  O'Rourke For US Senate 

      Immigration System Texans Can Trust
      Improving the Aff"
geoffb5,SW MI,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
Vimoralesg,San Antonio,RT @MSNBC: MSNBCs @SteveKornacki breaks down the Texas Senate race.Make sense of the midterms on MSNBC.
laineyberly,United States,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
1FlamingCranium,"Montana, USA","RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
davidmfaris,"Chicago, IL","In a neutral political environment (without a president squandering 3.7% unemployment with relentless, churlish div https://t.co/sjyoNuQvFX"
BSmithTweet,"Warrenton, MO","RT @JRubinBlogger: Press keeps saying Trump is helping in Senate. But since 2016 Ohio, Wis , Penn and W Va arent really competitive at all"
krbclt,"Charlotte, NC","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
protchadl,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
Sailaway2C,Southern CA,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
gumboqueen3030,"Missouri, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
dianne1h,USA,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
schober_henry,"Philadelphia, PA","RT @JRubinBlogger: Press keeps saying Trump is helping in Senate. But since 2016 Ohio, Wis , Penn and W Va arent really competitive at all"
JosephChez,#Trump is a #ConMan opinion,"TEXAS !! 

@BetoORourke is the real thing; Texan, honest, humbled, caring, knowledgeable, compelling, trustworthy, https://t.co/Pufp0qvyqM"
TandemComm,"Atlanta, Georgia","RT @Politics_Polls: Texas Senate:
Ted Cruz 47% (+5)
Beto O'Rourke 42%

@EmersonPolling 10/1-5
https://t.co/Elbyig9wxa #TXsen"
sdpreston,"Seattle, WA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
vanja180700,,2018 midterms: voters in key Senate races say Kavanaugh battle is a motivator - Vox https://t.co/CrbtQWYwh1 via @GoogleNews
CobyJOwens,"Wilmington,DE","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Michwowa,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ed_grimly,https://gab.ai/Girl_Grimly,RT @Peoples_Pundit: Yet another poll showing @SenTedCruz and @MarshaBlackburn at that critical 50-percent threshold. Not counting Kavanaugh
nicmor52,"Boston, MA","RT @Politics_Polls: Texas Senate:
Ted Cruz 47% (+5)
Beto O'Rourke 42%

@EmersonPolling 10/1-5
https://t.co/Elbyig9wxa #TXsen"
caitlinchill,"Orlando, USA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
PurrcysMom,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
JenTassel,"unceded territories of the Musqueam, Squamish and Tsleil-Waututh First Nations","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
katiehal16,"Boston, MA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
clifton_moira,"Warrensburg, MO","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
ChiKB22,"T: 41.935889,-87.644057","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Mareesani,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
DumpTrump,"Trump Tower, NYC","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
whenyourastar,"Portland, OR",RT @mariko2012: #resisters ACTION!! Cruz is up in polls. We need turn Texas blue.  Join me in making calls to voters. Sign up to phone bank
thraeelddim,"Seattle, WA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
SimplyNina,"Salt Lake City, Utah","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Ohmygod1tszach,"Tempe, AZ","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
VVnospam,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
PKrueske,"Wisconsin, USA",RT @mariko2012: #resisters ACTION!! Cruz is up in polls. We need turn Texas blue.  Join me in making calls to voters. Sign up to phone bank
arrogantbutch,"Phoenix, AZ","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
Waterlubbers1,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
totaljoyk,,"RT @1AmericanMama: Texas

Ted Cruz- Senate  @tedcruz https://t.co/sq3TyCOQZl"
whodawala,"Houston, TX","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
DeanneRuckus,,RT @marymhuber: A group of about two dozen organized by @UltraViolet are protesting the confirmation of Brett Kavanaugh to the Supreme Cour
akilan27,"Chennai, India","RT @Pinboard: Ted Cruz, who voted to confirm Kavanaugh and is in a hotly contested Senate race in Texas, received $3,000 from Amazon and $6"
speakersamerica,United States,"RT @bud_cann: One by one they fall by the wayside, family, friends, associates, and entertainers I have loved listening to. Willie Nelson i"
DylanGrant91,"Pittsburgh, PA","RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
sh_irredeemable,,RT @KatyOldenburg: @MargeElder4 @rpk409 @sh_irredeemable @mailman576 @raba_mary @DVCMAC @42Gnome @sladams3 @BuddhaKatze @carollovesmax @por
jbetancourt_15,"Dallas, TX","Run Like the Devil, will attempt to tell the audience in a non-partisan way if a ""wildly unconventional campaign an https://t.co/hO9emVMerC"
Zoomie932,Fresno CA,"RT @tigerwoodstock: @RealJamesWoods @Zoomie932 Hirono is lucky to be in the Senate, if she lived in Texas, the job that she would be qualif"
dazilmz,Bay Area,"RT @LunaLuvgood2017: Beto O'Rourke has visited and talked with people in every one of the 254 counties in Texas, without taking a dime of b"
pami943,United States,"RT @Cali_Tracii: @RealErinCruz @tedcruz                
Hold the Senate with a #RedNovember.

A M E R I C A 's @tedcruz fo"
Kitrenee4Trump,"Utah, USA",RT @dawg_lb: 'Vote Senator TED CRUZ to return to the U.S. Senate Texas Nov. 2018 to keep RED and Senator Cruz continue his important for th
tibbs_cindy,USA,"You were an awesome rockstar then, &amp; an awesome rockstar now! Thank you for your years of service to Texas &amp; the US https://t.co/wRBfhM8mqI"
Kate_KS_330,"Akron, OH","RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
caitmegadeth,,"RT @AmyBrenneman: 8 Democrats in Senate races who could use any Kavanaugh rage dollars you are looking to spend.
Joe Donnelly, Indiana
Heid"
teslat1,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
BrianAn06364517,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
rgething,,"RT @JohnWHuber: Note the use of North Dakota and New York instead of Rhode Island and Texas

Also equal representation by the states in the"
