ids,ids,text
37477872,37477872,"california, usa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
416119322,416119322,"rgv | lbk rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
8.07E+17,8.07E+17,"san benito, tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2439096672,2439096672,"texas, usa rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
2352593048,2352593048," bigcity   rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
15991094,15991094," bigcity  , texas rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez"
7.37E+17,7.37E+17,"texas, usa rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez"
1.01E+18,1.01E+18,"texas, usa rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://"
977419657,977419657," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
2270630270,2270630270,"texas, usa. rt @tlrpac: tlrpac endorses angela paxton for the texas state senate, district 8! @angelapaxtontx https://t.co/u3sbrrbxcj #txlege https://t"
8.64E+17,8.64E+17,"southern, ca rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
1.01E+18,1.01E+18,"texas, usa rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
16553226,16553226," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
3145484464,3145484464,"under a rock with wifi  rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1100116086,1100116086,"hong kong rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
1.00E+18,1.00E+18," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
23098409,23098409,"new england rt @aroseblush: texas ~     vote for ' beto '   beto  for us senate 

      immigration system texans can trust
      improving the aff"
3259287158,3259287158," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.85E+17,7.85E+17," rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
1514883614,1514883614,"31.7717 n, 35.2286 e rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.85E+17,7.85E+17, rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
45669053,45669053,"des moines, ia rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important"
572806136,572806136,"nice, france rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
564924125,564924125,"toronto, ontario rt @charlesianbrown: peak charlie brown is snapchatting a girl from my hs who i havent talked to since december 2016 and asking if she's re"
100643234,100643234,"living in hell with my pug rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
8.06E+17,8.06E+17,"california, usa rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
8.23E+17,8.23E+17,"tampa, fl @michaelavenatti @corybooker he can't because he has rules to abide by in the senate, remember when they kicked a f https://t.co/yrmrhdtx0i"
9.49E+17,9.49E+17,"earth rt @fire_ cruz _ cruz :  cruz , did you ever think you might be responsible for your own unpopularity? asking for a friend. #txsen #fire  cruz   #te"
19492233,19492233,"san jose, ca democrat texas rep.  beto    beto  s senate campaign was flagged by the federal election commission (fec) on sunday https://t.co/ppafmezarp"
856817749,856817749,"anytown, usa. rt @chrisobrienma: making calls and signing up volunteers. the thought of a #democrat from #texas in the #senate is my #mondaymotivation. c"
9.47E+17,9.47E+17,"united states rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
48191842,48191842,texas rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez
860017376,860017376,"seattle, wa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
280459733,280459733,irish in london rt @chrisobrienma: making calls and signing up volunteers. the thought of a #democrat from #texas in the #senate is my #mondaymotivation. c
3378940274,3378940274," usa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
82537931,82537931,"los angeles, ca rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
18914244,18914244, rt @shandat612: from austin to houston. texas is turning up for positive change and that starts with electing @ beto   beto   to senate. real
7.18E+17,7.18E+17," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
24658978,24658978,"texas rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
751828440,751828440, national nurses uni cruz  endorses  beto    beto   in texas u.s. senate race - https://t.co/dsj6hinnku via @commondreams
7.19E+17,7.19E+17,"new jersey  rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.02E+17,7.02E+17,"tennessee, usa rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.40E+17,8.40E+17," rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
809484055,809484055,"usa rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
2569439603,2569439603, rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
9.02E+17,9.02E+17," rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
26781179,26781179," smalltown  , texas rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez"
341025358,341025358," bigcity  /nola  rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
129264927,129264927,"kailua, hi rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
9.74E+17,9.74E+17,"earth rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
4913939786,4913939786," rt @jrubinblogger: press keeps saying trump is helping in senate. but since 2016 ohio, wis , penn and w va arent really competitive at all"
21253935,21253935,"texasssssssss rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
272112035,272112035,"yeg... and left of centre rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
2161778298,2161778298," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3234415380,3234415380," rt @colliderfrosty: dear texas,
tomorrow is the last day to register to vote. if enough young voters turn out  cruz  won't be returning to th"
7.80E+17,7.80E+17,"middle earth rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
31237315,31237315,"los angeles, ca national nurses uni cruz  endorses  beto    beto   in texas u.s. senaterace https://t.co/60ecpwmqvp https://t.co/bsoo3ayazm"
1864637521,1864637521,"oil country, alberta  rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
34624211,34624211, rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
95597780,95597780,"wi, usa  rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
18325705,18325705,"las vegas, nv rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
466303565,466303565," @charlottechar22 @potpourri72 @govmikehuckabee @taylorswift13 yep, what ive been saying &amp; only thing keeping me fr https://t.co/zeaulpfwfj"
2156053704,2156053704," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.13E+17,8.13E+17,"texas, usa rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses"
54573251,54573251," bigcity  , tx rt @steponeafrica: so i can vote for  beto  in the mid-terms in texas for his bid to upset  cruz ..walking door to door for lizzy fletcher to r"
8.06E+17,8.06E+17,"sf rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.64E+17,9.64E+17,"colorado, usa rt @smilynntodd: houston, we have a problem. there may not be a venue large enough when  beto  brings home a blue senate seat for texas! http"
1255700551,1255700551," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
24658978,24658978,texas rt @josepheach: watch: @  cruz   talks to nbc's lester holt about his tight senate race in texas - (and more!) https://t.co/jiqmgawcjh
3684126388,3684126388,"perth, western australia rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important"
478004224,478004224," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
7.03E+17,7.03E+17,"new york, usa rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
2312036022,2312036022," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
2284527962,2284527962," rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
2720130608,2720130608," midterm election poll: texas senate,  cruz  vs.   beto   - the new york times.              # cruz tovictory  https://t.co/k9hdo9jlcq"
3431606412,3431606412,"strawberry fields  rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4729714512,4729714512,"texas, usa rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
140530083,140530083," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4738332976,4738332976,"new york  cruz   cruz  slightly leading  beto   beto  in texas senate race, polls show - mic https://t.co/dk1enfoqob"
9.43E+17,9.43E+17,"united states rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
8.32E+17,8.32E+17," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4547869279,4547869279," rt @statespoll: uni cruz  states senate election in texas, 2018
 cruz (rep) vs  beto  (dem). cbs news/yougov 10/2-10/5
my analysis post: https"
4547869279,4547869279," rt @statespoll: uni cruz  states senate election in texas, 2018
 cruz (rep) vs  beto  (dem)
emerson 10/1-10/5. 500 lv
my analysis post: https:"
568521829,568521829,usa rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.23E+17,8.23E+17,"tx rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
60841112,60841112,"'murica rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
7.10E+17,7.10E+17,"in a galaxy far far away rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
4928688581,4928688581,"  cruz   cruz  slightly leading  beto   beto  in texas senate race, polls show - mic https://t.co/raz640vtlt"
3329457014,3329457014,"san diego, ca rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
20071488,20071488,united states rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.98E+17,8.98E+17,"santa barbara, ca rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
384728194,384728194,"the road rt @colliderfrosty: dear texas,
tomorrow is the last day to register to vote. if enough young voters turn out  cruz  won't be returning to th"
1574474725,1574474725," rt @colliderfrosty: dear texas,
tomorrow is the last day to register to vote. if enough young voters turn out  cruz  won't be returning to th"
218634270,218634270,united states rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
32914187,32914187," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
149252821,149252821," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3193140656,3193140656,"at travis scott concert rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2504113079,2504113079,"nashville  texas, yall really gonna give the zodiac killer one of your senate spots again? do better. https://t.co/402h66imcl"
608766372,608766372," rt @tlrpac: tlrpac endorses angela paxton for the texas state senate, district 8! @angelapaxtontx https://t.co/u3sbrrbxcj #txlege https://t"
9.41E+17,9.41E+17, rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.35E+17,8.35E+17," rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
7.29E+17,7.29E+17,"lake tahoe ca/nv rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
91140002,91140002,"usa i wonder why my local 'news' station hasn't told everyone who i'm backing for the texas senate race?! ... ""overwork https://t.co/thacodievo"
797195905,797195905,rent free in a liberal's head @theangelofwrath @jennie_agent99 @firelightfenix @ap4liberty hawley is still ahead in the polls. as is  cruz  in texa https://t.co/syrvbn1sgx
1.01E+18,1.01E+18,"florida, usa rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
2899263566,2899263566,"guntur, india rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
2472682973,2472682973,"dtx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
4847121672,4847121672,"gods country-trump nation rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
1.01E+18,1.01E+18,"texas, usa rt @tt45pac_: heads up texas!

we need all of you to vote! 

.@sen  cruz   on his close senate race in texas: ""success can breed complacency"
2675360665,2675360665," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
569425982,569425982,"toronto canada midterm election poll: texas senate,  cruz  vs.   beto     via @nytimes https://t.co/g94uggorgt"
7.95E+17,7.95E+17,"mississippi/texas rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
8.16E+17,8.16E+17,"usa rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
7.86E+17,7.86E+17,arizona  rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.08E+17,8.08E+17," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
303933058,303933058,usa rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
9.52E+17,9.52E+17," rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
2904361496,2904361496,"  cruz   cruz  slightly leading  beto   beto  in texas senate race, polls show - mic https://t.co/zpibjbfrfa"
3236610031,3236610031," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
7.46E+17,7.46E+17,"peoples republic of california rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
4504453394,4504453394," bigcity  , tx rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
9.42E+17,9.42E+17,"florida, usa @krassenstein thank you texas! we need you especially so we can possibly take the senate"
292725126,292725126," rt @nate_cohn: we're fully in the field in texas, tennessee and nevada senate.
still very early in all three
https://t.co/yq9xd1eyso"
5739522,5739522," rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
21080252,21080252,"columbus, indiana rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
1.04E+18,1.04E+18," rt @steffs_tweets: keep texas red
vote @  cruz   for senate!! 
#choose cruz  https://t.co/xi8fbu6giy"
138864672,138864672," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
3236496950,3236496950,"usa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.39E+17,9.39E+17," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2324567046,2324567046,"phoenix, az rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
3716270952,3716270952, rt @bssymrgn: if yall let mf  cruz  crusty win this texas senate race im personally beating each and everyone one of yalls asses
3133683903,3133683903,"baton rouge, la rt @amybrenneman: 8 democrats in senate races who could use any kavanaugh rage dollars you are looking to spend.
joe donnelly, indiana
heid"
54582134,54582134,"cincinnati, oh rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
716881447,716881447,"chicago, il rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important"
7.16E+17,7.16E+17,"new york, ny rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
491295033,491295033," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1.00E+18,1.00E+18,lexington nc rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
1058756852,1058756852," bigcity   tx  rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
2162562761,2162562761," rt @macchomhghaill:  #trump  #maga #kag
#nc
#nyc
#ohio
#utah
#iowa
#awmi
#texas
#florida
#kansas
#indiana
#nevada
#hannity
#arizona
#mon"
1591957393,1591957393," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2787087057,2787087057," @  cruz   for senate?  is  cruz   cruz  ""tough as texas""? https://t.co/scomt31fp7 via @youtube"
423083149,423083149," rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
423083149,423083149, rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://
716112151,716112151," bigcity  , tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
134802934,134802934,"eating panda express @ uc rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
2307620083,2307620083,"cisco, tx rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
1.04E+18,1.04E+18,"texas, usa rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
2915292523,2915292523,"del rio, tx rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.41E+17,9.41E+17,"argentina rt @nbcnightlynews: ""we're in a very divided time. that's true in texas, it's true nationally."" 

sen.  cruz   cruz  talks to @lesterholtnbc abo"
8.45E+17,8.45E+17,"albertville, al rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://"
2291360478,2291360478," bigcity  , tx from austin to houston. texas is turning up for positive change and that starts with electing @ beto   beto   to senat https://t.co/wiv9fpr4og"
7.19E+17,7.19E+17,"liberty, mo rt @thomaskaine5: poll:  cruz  leads  beto    beto   among hispanic voters in texas senate race https://t.co/4dgkfllybg"
929958378,929958378, rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important
8.55E+17,8.55E+17,"springfield, oh rt @nashvilletea: new cbs poll shows marsha blackburn up 8%https://t.co/uehjjo1val https://t.co/7ujjv99f7j"
2597151751,2597151751," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
1.02E+18,1.02E+18, rt @kimguilfoyle: guilfoyle came out guns blazing: were here to make sure you dont put a  beto  male in the u.s. senate!she declared to
2749906178,2749906178,"united states rt @colbertlateshow: on tonight's episode we're revisiting texas senate candidate @ beto   beto  's chat with @stephenathome. plus, you get to"
7.06E+17,7.06E+17,"texas, usa rt @trscoop: watch:  cruz   cruz  talks to nbcs lester holt about his tight senate race in texas  (and more!) https://t.co/mcfcada7bj https://"
8.61E+17,8.61E+17,"miami beach, fl rt @thomaskaine5: poll:  cruz  leads  beto    beto   among hispanic voters in texas senate race https://t.co/4dgkfllybg"
1884723956,1884723956,"texas, usa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
8.93E+17,8.93E+17,"texas, usa rt @dawg_lb: vote to re-elect senator  cruz   cruz  texas u.s. senate 2018 keeping texas 'red' and @sen  cruz   continuing his hard and important"
1195883928,1195883928," rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
9.80E+17,9.80E+17,"california, usa rt @facethenation: new poll: rep.  beto   beto  trails sen.  cruz   cruz  by 6 points, in our new cbs news battleground tracker https://t.co/i0k"
138148530,138148530,"long beach, ca rt @aynrandpaulryan: this is not a drill

 beto   beto  has pulled ahead of  cruz   cruz  for the first time.

47% to 45%

early voting in tex"
30554954,30554954," rt @ronnehring:  cruz  lead in texas firm. blackburn up in tn. cramer up in nd. democrats senate narrative falling apart.  

world is run by"
81468030,81468030,texan of mex/pr descent  rt @texastribune:  beto   beto  commit cruz  to serving out his six-year senate term if elec cruz .  cruz   cruz ? not so much. https://t.co/igket2ieez
