binary,text
1,"buy your tickets for a movie, and don_t forget your popcorn |  ﻿woman  editorial #collection  body   winterwear  textile girl product pattern smile beige"
0,call your friends and meet them at the cinema | new editorial for  ﻿woman  #collection eyewear red vision care glasses sunglasses cool girl square magenta smile
0,outerwear | 3. the blazer 8033/693 thank you @ezrapetronio formal wear  formal   formal   body   winterwear  tuxedo  ?body  magenta  winterwear 
0,outerwear | 1. the trench 0518/055 thank you @ezrapetronio gentleman forehead  ?body tie  winterwear   ?body  white  body  worker portrait formal wear professional beige
0,"shape the invisible is a collaboration between zara and new talents emerging from some of the most important design schools. with recycling as the initial idea, zara gave the schools clothing from previous seasons, with which the students then created new garments adding their own design and vision. learn more at zara.com #shapetheinvisible font product design collection light fixture"
0,"shape the invisible is a collaboration between zara and new talents emerging from some of the most important design schools. with recycling as the initial idea, zara gave the schools clothing from previous seasons, with which the students then created new garments adding their own design and vision. learn more at zara.com #shapetheinvisible lighting font product design light fixture"
0,"shape the invisible is a collaboration between zara and new talents emerging from some of the most important design schools. with recycling as the initial idea, zara gave the schools clothing from previous seasons, with which the students then created new garments adding their own design and vision. learn more at zara.com #shapetheinvisible light fixture product lighting font product design lamp brand"
0,the minimalist edit | mandarin collarclothing 0071/296 + chinoclothing 2318/320 available online and  collections  stores #collection  body   winterwear   formal  formal wear
0,the minimalist edit | solid coloredclothing 1564/320 + solid coloredclothing 0070/296 + basic bermuda shorts 0706/398 + white sneakers with straps 5416/202 available online and  collections  stores #collection shoe fashion model gentleman fashion  winterwear  sleeve shorts trousers  ?body 
0,the minimalist edit | checked sweater 4566/300 + cropped chinoclothing 2318/322 + matte black leatherclothing 5027/202 available online and in  collections  stores #collection khaki waist joint trousers beige active pants shoe human leg abdomen pocket
1,soft and jumpsuits |  ﻿woman  capsule collection #collection #season fashion model  body  supermodel leg thigh model joint photo shoot lingerie tights
1,soft and flowers |  ﻿woman  capsule collection now available #collection #aw7 clothing dress  winterwear  day dress design nightwear pattern pattern sleeve robe
1,stripedclothing with bows #collection #collection #season ref 7724/990 picture by @ezrapetronio clothing  body  purple sleeve  ?body   winterwear  blouse top pattern
0,the stripes | #collection long assymetric tunic ref 7778/617 #season #collection picture by @ezrapetronio  body  model fashion model photo shoot brown hair  ?body 
0,this is #collection | printed t-clothing ref 5580/210 #collection #season picture by @ezrapetronio t shirt forehead black hair product brown hair  ?body  long hair hair coloring
0,the tweed | #collection #clothing ref 7772/603 #collection picture by @ezrapetronio headgear  ?body  hair accessory hat
0,this is #collection | long assymetric tunic ref 7778/617 #season #collection picture by @ezrapetronio red product  winterwear  textile pattern clothes hanger pattern
0,suit but casual | this is #collection #softclothing ref 2753/222 #clothing 7901/222 #season picture by @ezrapetronio clothing yellow eyewear  winterwear  fashion model vision care  formal   winterwear  top button
0,seasonseason 2017 kids campaign by @matteomontanariphotography art direction @ezrapetronio #collection #collection #season plaid tartan  winterwear  pattern  body   winterwear  design product sleeve  ?body 
0,seasonseason 2017 campaign by willy vanderperre #collection #collection #season fashion model fashion formal wear gentleman  formal  shoe runway  formal  model fashion design
0,fallseason 2017 campaign by @stevenmeisel_ art direction by @fabienbaron stylist karl templer #collection #collection #season black and white beauty monochrome photography photography fashion accessory headgear gentleman fashion monochrome model
1,city lights | pre-fall #season. embrace the lights of the city dress  winterwear  fashion costume pattern pattern fashion design
0,city lights | discover our bright pre-fall collection now online and in stores #season footwear shoe dress fashion  winterwear  pattern design tartan fashion design pattern
1,join life |  kids  girl sustainable collection. tencel� is derived from wood grown in sustainable forests that guarantee their reforestation #collection clothing pink  body  dress textile product child girl nightwear toddler
0,"join life |  kids  girl sustainable collection. organic cotton is grown using practices that help us to protect biodiversity, such as the use of natural fertilizers #collection sitting child child model toddler photo shoot girl portrait photography"
1,join life |  kids  girl sustainable collection. a selection of the best sustainable raw materials and processes that helps us to take care of the environment #collection clothing  body  sleeve joint child  ?body  beige abdomen waist trousers
0,pink | fringe earrings #collection #season ref 4548/204 chin eyebrow cheek forehead  ?body  black hair human wig lip hair coloring
1,the look | fringe earrings for a touch of color #collection ref 4319/203 #season eyebrow chin lip cheek forehead  ?body  black hair wig brown hair ear
0,this is #collection | doclothing #clothing ref 6855/019 and #clothing ref 6855/016 # collections  #season photograph black and white photo shoot photography monochrome photography fashion model headgear model shoe fashion
0,this is #collection | timelessclothing #clothingclothing ref 5252/015 #shorts ref 9123/252 # collections  #season clothing denim fashion model  bottoms  fashion  winterwear  sleeve model fashion design
0,this is #collection |clothing +clothing # collections  check new items online and in-stores #season clothing black and white fashion model sleeve  winterwear  fashion  winterwear  shirt monochrome photography dress shirt
1,it's time to play |  ﻿woman  editorial #collection #editorial clothing sleeve t shirt  body  joint  winterwear  product  ?body  top girl
1,it's time to play |  ﻿woman  editorial #collection #editorial yellow  body  shoe  ?body   winterwear  joint product pattern
1,this is #collection | poplinclothing ref 7876/117 palazzoclothing ref 0594/040 clothing day dress  body  dress fashion model joint fashion sleeve  winterwear   ?body 
1,this is #collection | clothing ref 5580/160 clothing t shirt  body  sleeve dress joint  ?body  product
1,this is #collection #clothing ref 2660/797 #bag ref 6304/205 white bag yellow handbag  body  fashion  winterwear  pattern shoe
1,the polka dot | # collections  t-clothing ref 5039/101 fashion model black and white  body  fashion design pattern joint trunk abdomen fashion design
0,this is #collection | the timeless polka dot #tclothing ref 0264/288 black and white  body  pattern design monochrome photography polka dot fashion monochrome photo shoot retro style
0,it_s time to play | new editorial for kids #collection #editorial photograph  body  standing product shoe joint  winterwear niture
1,it_s time to play | new editorial for kids #editorial #collection clothing t shirt  body  denim textile  bottoms  sleeve  winterwear  product fashion
0,it_s time to play | new editorial for kids #collection #editorial hair photograph facial expression microphone smile emotion fun laughter  winterwear  sunglasses
1,tricolor plaited tote bag 4041/204 fashion model  body   ?body  tartan sleeve pattern nightwear retro style plaid handbag
1,vinyl high heel sandals for this season ref 6552/201 and striped palazzoclothing ref 9878/024 pink  body  day dress waist joint peach trunk  ?body  abdomen pattern
1,ready for the weekend? more accessories online and in-stores #itsfriday ref 4373/039 hat sun hat headgear fashion accessory fedora cowboy hat
0,upcycled fabrics | recycled polyester is made from recovered plastic bottles #collection #collection #careforfiber footwear shoe  body  joint  winterwear   ?body  sleeve shorts human leg beige
0,sustainable raw materials | recycled cotton is made from residue collected from the cutting processes #collection #collection #careforfiber sleeve  winterwear   body   ?body  t shirt headgear  bottoms  trousers pocket cap
1,young and resolute | newcollection editorial. mariana wears graphic t-clothing # collections  #editorial clothing t shirt black and white  body  sleeve joint  ?body  model monochrome photography muscle
0,young and resolute | newcollection editorial. cara wears oversized text t-clothing # collections  #editorial t shirt white black and white  body  joint sleeve fashion fashion model monochrome photography  ?body 
1,season holidays | one day at the swimming pool #collection #editorial clothing swimwear aqua turquoise shorts  body  one piece swim formal  fashion model swim formal  top t shirt
0,season holidays | kids editorial #collection cap headgear beanie  winterwear  hair accessory hat
1,season holidays | kids editorial. enjoy at the swimming pool #collection child toddler smile girl fun  ?body  pattern
0,color block collection now available online and in-stores #collection sleeve t shirt  body   ?body   winterwear  jersey joint  body  sportswear
0,color block collection now available online and in-stores #collection white sleeve t shirt  body  product  body   winterwear   ?body  product formal wear
0,color block collection now available online and in-stores #collection sleeve t shirt  body  headgear  winterwear  cap protective gear in sports arm  ?body  electric blue
0,that beach feeling | woman editorial #collection #editorial  winterwear  robe  winterwear   ?body  costume
0,next destination: the beach | woman editorial #collection #editorial clothing yellow  body  joint dress trunk abdomen  ?body  vacation pattern
1,let_s drive to the beach | woman editorial #collection #editorial thank you @imaanhammam fashion model  body  handbag fashion accessory joint waist fashion miniskirt trunk thigh
1,stripes fromclothing to bottom | blue shades woman editorial #collection #editorial clothing vacation  body  dress  winterwear  summer  ?body  sand joint shorts
1,"stripes are everywhere | blue shades. woman editorialnow available online and in-stores #collection #editorialthank you @shelbyhayes00 clothing photograph  body  shoe  winterwear  vacation sitting joint summer  ?body "
0,blue shades for stripes | new woman editorial #collection #editorial thank you @graciehartzel headgear cap hair accessory sun hat beanie knit cap hat  ?body  headpiece
1,tropical printclothing | man #collection fashion model  body  model fashion joint t shirt sleeve photo shoot  ?body  supermodel
0,tropical leaf | prints + prints for man #collection eyewear t shirt sleeve  ?body  sunglasses vision care cool  body 
1,exotic allure | kiki wears the floral printed kimono clothing #collection #editorial clothing textile day dress formal wear pattern pattern
1,light and enveloping kimono for an exotic allure #collection #editorial clothing  body  day dress sleeve costume fashion model  ?body  robe nightwear kimono
1,"long lengths, fluid and voluminous, it's an exotic allure. thank you @kdhwillems #editorial #collection clothing blue  body  costume pattern day dress joint"
1,"pack your tent, it's time for season camp | kids editorial #collection #editorial photograph girl smile  winterwear  fun child happiness toddler vacation friendship"
0,time for season camp | new kids editorial #collection #editorial property architecture building facade angle roof elevation house
1,ready for a season camp | check kids editorial #collection #editorial clothing denim  bottoms   body   winterwear  toddler sleeve child shorts girl
1,let's go for a season getaway | the vacation edit #collection #editorial sitting leg fashion model lingerie human leg thigh photo shoot shoe undergarment model
1,this is the vacation edit | woman editorial. thank you @jean_campbell #collection #editorial sitting leg thigh human leg undergarment shoe
1,free inclothing | new man editorial.clothing with embroidered floral motifs #collection #editorial thank you @kitbutlerr fashion  winterwear   ?body  sleeve denim model photo shoot  winterwear 
0,free inclothing | new man editorial now available #collection #editorial thank you @oscarkindelan sleeve  winterwear  dress shirt  ?body  cool t shirt denim top model  bottoms 
1,free inclothing | new man editorial.clothing with embroidered floral motifs #collection #editorial  body  joint  ?body 
0,neon |collection editorial now available online and in-store # collections  #editorial joint  body  standing physical fitness arm leg tights human leg thigh balance
1,stay bright! neon. newcollection editorial # collections  #editorial yellow sitting beauty fashion model  body  leg black hair model photo shoot girl
1,blooming | check out new woman editorial #editorial #collection thank you @katerynazub photograph black and white monochrome photography photo shoot photography flower monochrome stock photography girl
0,blooming | check out new woman editorial #editorial #collection thank you @micarganaraz clothing costume  winterwear  fashion model formal wear white  winterwear   ?body  robe  formal 
1,blooming | new woman editorial just released #editorial #collection yellow clothing dress flower spring summer meadow wildflower grass field
1, ﻿woman  season collection now available | all over print clothing #collection #editorial clothing fashion model day dress dress  body  joint  ?body  cocktail dress sleeve photo shoot
0,ready to catch the wave |  kids  boy season collection now available #collection #editorial surfing equipment and supplies surfboard wood sports equipment
1,printed flowing jumpsuit |  kids  girl season collection now available #collection #editorial photograph sitting girl toddler child photo shoot child model portrait photography shoe pattern
1,southern air | bows + polka dots. new woman editorial #collection #editorial clothing  body  fashion model joint design polka dot sleeve pattern waist  ?body 
1,clothing with fringes for a southern air | woman editorial #collection #editorial thank you @mckennahellam fashion model model  body  supermodel photo shoot leg lingerie thigh arm long hair
1,"kids  ﻿woman  editorial | play, laugh, it's a season ride #editorial #collection photograph snapshot dress vacation ceremony"
1,let's go for a season ride | kids  ﻿woman  editorial #collection #editorial blue photograph sitting  body  fashion accessory photography vacation leisure product shoe
1,"time for fun, it's sunny | kids  ﻿woman  new editorial #collection #editorial blue clothing fashion model  body  electric blue joint fashion girl shoe costume"
1,"peplum, it's a nautical vibe | new woman editorial #collection #editorial white clothing  body  joint costume  ?body   winterwear  sleeve formal wear gown"
1,nautical vibes with a femenine touch | woman editorial now available online and in-stores #editorial #collection thank you @damarisgoddrie white  body  joint waist  ?body  fashion model arm abdomen trunk sleeve
1,smile and have fun | a long season day #collection #editorial photograph  body  romance interaction gown bride wedding stock photography  ?body  honeymoon
1,new boys editorial | a long season day #collection #editorial t shirt boy  body  sleeve  winterwear  product arm cool  ?body  child
1,a long season day | boys new editorial #collection #editorial green  winterwear  tree stock photography angle product
1,"time for sun, pieces made for sun |collection editorial. floral prints and shorts # collections  #editorial #madeforsun  body   winterwear  fashion model photo shoot sleeve  ?body  product"
0,man editorial | tailoring. formal suits to wear this season. navy / grey / pale blue #collection #editorial  formal  formal wear tuxedo gentleman  winterwear   formal  white  body  worker businessperson
1,man editorial | tailoring. relaxed looks to enjoy thisseason. white / pannacotta / pale pink #collection #editorial  body  fashion model  ?body   winterwear  fashion joint sleeve supermodel peach model
0,man editorial | tailoring. relaxed looks to enjoy thisseason. white / pannacotta / pale pink #collection #editorial thank you mathias lauridsen plaid  formal   winterwear   body  fashion sleeve design pattern formal wear dress shirt
1,collection #oilonclothing | limited collection in collaboration with @mercedesbellido available online # collections  clothing denim  bottoms  fashion model  body  fashion  winterwear  trousers sleeve fashion design
1,collection #oilonclothing | limited collection in collaboration with @ricardocavolo available online # collections  clothing fashion model fashion  winterwear  shoe  bottoms  trousers  ?body  leggings pattern
1,collection #oilonclothing | limited collection in collaboration with @yimeisgreat available online # collections  clothing fashion model fashion denim day dress  winterwear  shoe fashion design pattern pattern
1,the perfect accessory. natural fiber handbag with contrasting stripe detail down the front #collection ref 4751/001 bag  body  handbag joint product pattern  ?body  pattern
1,the flatform espadrilles. for urban streets or sandy beaches #collection ref 1357/201 footwear shoe sandal outdoor shoe beige product design high heeled footwear
1,panama-style hat for sunny days 3920/010 #collection hat headgear fedora sun hat cap beige
0,"this isclothing | new man editorial.season seasonproposals for your day to day easy fitclothing looks #editorial #collection #clothing  body   winterwear   ?body  t shirt sleeve pocket  winterwear  joint"
0,this isclothing | new man editorial. ripped overclothing #editorial #collection #clothing black and white  winterwear  photography monochrome photography  winterwear  zipper gentleman pattern design sleeve
0,this isclothing | new man editorial. key pieces from theclothing collection full of destroyed and damaged surfaces #editorial #collection #clothing thank you @robertosipos  bottoms   body  denim fashion model trousers joint
1, ﻿woman  new editorial | soft collection. striped jumpsuit with bows #editorial #collection black and white fashion model  body  monochrome photography  ?body  monochrome photo shoot day dress model joint
1, ﻿woman  new editorial | soft collection. peplum striped blouse with bows at the back #editorial #collection photograph sitting black and white standing photography monochrome photography photo shoot  body  girl monochrome
0,"season breeze | woman editorial. noemie wears ruffledembroidered floralclothing #editorials #collection fashion model model  body  photo shoot beauty supermodel cocktail dress black hair joint  ?body "
0,season breeze | harleth wears floral printedclothing and striped asymmetric ruffle clothing #editorial #collection #seasonbreeze fashion model  body  supermodel  ?body  model photo shoot day dress joint sleeve
1,reworked white | newcollection editorial now available # collections  #editorial #white thank you @matteomontanariphotography white clothing fashion model  body  joint dress  ?body  fashion sleeve eyewear
