image_id,post_caption,,#_comments,#_comments_norm,#_likes,#_likes_norm,engagement,binary,image_labels
16,comfy | girls editorial. simple and cozy. check bow clothing & grey cardigan,,153,0.037564449,80200,0.226617689,0.113185745,0,furniture sitting shoulder product design chair shoe joint couch cushion human leg
17,comfy | girl editorial. simple and cozy garments. special collection.,,396,0.097225632,230200,0.650466233,0.318521873,1,beauty shoulder hairstyle portrait neck forehead photo shoot black hair human girl
18,midtown warm-up | new woman editorial now available. thank you @myrthebolt_,,520,0.127670022,189600,0.535744561,0.290899838,1,shoulder snapshot fashion outerwear socialite fur joint road street shoe
19,midtown warm-up | seasonal teddy-texture mixed with nostalgic floral print midi clothinges.,,200,0.049103855,80900,0.228595648,0.120900572,0,black and white t shirt monochrome photography photography fashion sleeve design pattern monochrome product
20,"mid-town warm up | a story inspired by a modern take on retro classics based on textures of shearlingclothings, teddy texture patterned tights & kitten heels. thank yoy @cara_taylorrr #collection",,195,0.047876258,93400,0.263916361,0.134292299,1,pink purple magenta fashion jeans shoe trousers
21,this is #collection | palazzoclothing 8473/802,,257,0.063098453,53200,0.150324951,0.097989052,0,clothing text product standing font product design joint pattern product pattern
23,this is #collection | cashmere roll neck sweater 6873/176,,158,0.038792045,53600,0.151455213,0.083857312,0,clothing outerwear font neck pattern pattern brand sleeve
27,"join life | natural farmingecologically grown cotton is farmed using natural fertilizers or pesticides. this process is water-friendly and reduces the co2 emissions, helping us to prevent the climate change.",,418,0.102627056,190600,0.538570218,0.277004321,1,mammal rabits and hares rabbit child toddler ear product beige fur girl
28,"join life | organic cottonorganically or ecologically grown cotton is farmed in a way that respects the environment, biodiversity and the people who farm it.",,312,0.076602013,151800,0.428934727,0.217535099,1,shoulder sitting child product toddler textile leg joint cat flooring
29,"join life | baby girl sustainable collection.under the label #collection, we categorise all garments that have been produced using the best sustainable processes and raw materials",,207,0.05082249,117900,0.333144956,0.163751476,1,nose cheek child neck toddler lip product ear
30,lights galore |collection editorial. thank you @marjanjonkman,,412,0.101153941,84300,0.238202882,0.155973517,1,fashion accessory joint shoe leg tights costume thigh tartan punk fashion
32,lights galore icollection editorial. thank you @marjanjonkman,,157,0.038546526,77200,0.218140718,0.110384203,0,purple textile outerwear magenta long hair girl
33,a forest ride | kids editorial,,365,0.089614535,229400,0.648205708,0.313051004,1,clothing outerwear shoe fur jeans trousers neck
34,a forest ride | editorial for kids,,233,0.057205991,150100,0.42413111,0.203976039,1,boats and boating equipment and supplies water boat leisure oar vacation recreation boating plant community
35,a forest ride | new editorial for kids,,524,0.128652099,210500,0.594800791,0.315111576,1,clothing white snapshot outerwear jeans denim trousers product shoe sleeve
36,smooth textures | woman editorial. thank you @ediebcampbell,,226,0.055487356,100500,0.283978525,0.146883823,1,fashion model black and white model joint fashion monochrome photography photo shoot gentleman outerwear tights
37,smooth textures | woman editorial. thank you @ediebcampbell,,234,0.05745151,90500,0.255721955,0.136759688,1,purple violet fashion model outerwear model velvet costume magenta pattern
39,"a mix of wools, shape and proportion | man editorialseason tones. thank you @iohma",,133,0.032654063,64900,0.183385137,0.092946493,0,plaid tartan pattern sleeve outerwear design jacket dress shirt denim headgear
41,contemporary classics inseasonal tones | man editorial. thank you @iohma,,148,0.036336852,68400,0.193274936,0.099112086,0,shoulder outerwear fashion jacket top
42,mini capsule collection,,714,0.175300761,212400,0.600169539,0.345248272,1,toddler child neck
43,mini capsule collection,,"1,383",0.339553155,353900,1,0.603731893,1,nose toddler child infant neck product smile
44,mini capsule collection,,780,0.191505033,286700,0.810115852,0.438949361,1,shoulder neck joint
45,collection pufferclothing collection,,207,0.05082249,70000,0.197795988,0.109611889,0,fashion accessory shoulder outerwear fashion photo shoot girl model electric blue neck
46,the new puffers are here!,,543,0.133316965,120200,0.339643967,0.215847766,1,yellow hood fur fur clothing jacket
47,join the puffy trend! newcollection editorial,,149,0.036582372,75700,0.213902232,0.107510316,0,fur clothing fur coat fashion model neck collar
51,woman studio collection | coming soon #collection @kirindejonckheere @amandagooge,,191,0.046894181,82800,0.233964397,0.121722267,0,formal wear suit fashion model little black dress dress fashion shoulder gentleman outerwear tuxedo
52,woman studio collection | coming soon #collection @kirindejonckheere,,468,0.11490302,107400,0.303475558,0.190332035,1,woolen neck sweater fur clothing sleeve outerwear cardigan fur wool beige
53,woman studio collection | coming soon #collection @lex.herl @amandagooge,,186,0.045666585,90100,0.254591693,0.129236628,0,suit formal wear tuxedo blazer fashion model shoulder gentleman outerwear fashion coat
55,this is #collection | red checkedclothing,,208,0.051068009,74800,0.211359141,0.115184462,0,outerwear cardigan coat overcoat woolen jacket fashion model neck sleeve sweater
60,trick or treat? the masks | new editorial for kids,,242,0.059415664,89800,0.253743995,0.137146997,1,eyebrow forehead chin cheek lip brown hair ear girl
61,in the mood of halloween? the masks | new editorial for kids,,211,0.051804567,133700,0.377790336,0.182198874,1,human hair color blond outerwear long hair hair coloring girl brown hair neck portrait portrait photography
62,booo! the masks | new kids editorial,,113,0.027743678,63000,0.178016389,0.087852762,0,facial expression t shirt boy smile chin plaid forehead tartan outerwear cheek
63,"dear india, discover & shop the weekly new-in now at zara.com. #dearindiathank you @urvashi_umrao photographed by @thebadlydrawnboy",,122,0.029953351,69100,0.195252896,0.096073169,0,photograph black and white monochrome photography photography photo shoot monochrome girl gentleman stock photography model
64,"dear india, shop the latestseason collection now online.#dearindiathank you @nsfwsaket & @nitigyasingh photographed by @thebadlydrawnboy",,132,0.032408544,54700,0.154563436,0.081270501,0,photograph black and white monochrome photography photography gentleman interaction monochrome stock photography film noir
65,"dear india, shop online is now available. thank you @urvashi_umrao photographed by @thebadlydrawnboy",,236,0.057942548,45100,0.127437129,0.085740381,0,black and white photography monochrome photography album cover fashion monochrome font brand model photo shoot
66,iconic blazers | the checkedclothing 8303/610,,263,0.064571569,123100,0.347838372,0.17787829,1,coat black and white fashion model gentleman fashion monochrome photography outerwear overcoat formal wear monochrome
67,iconic blazers | contrasting faux fur blazer 4391/221,,174,0.042720354,78700,0.222379203,0.114583893,0,fur clothing black and white fashion model fur shoulder fashion outerwear neck monochrome photography stole
68,iconic blazers | pink wool blazer ref 8027/813 thank you @kdhwillems,,270,0.066290204,116600,0.329471602,0.171562763,1,coat jacket fashion model blazer outerwear top supermodel
69,pearly beret 3920/244,,474,0.116376136,141600,0.400113026,0.229870892,1,headgear black and white hat cap monochrome photography knit cap neck monochrome pattern beanie
71,textured neckerchief with ribbon and faux pearls 0247/249,,152,0.03731893,88300,0.24950551,0.122193562,0,denim sleeve jacket outerwear fashion model neck pattern button model collar
75,"good times | featuring prints, velvet and satin. special suits for special events. and party! thank you @brodiescottt",,226,0.055487356,78300,0.22124894,0.12179199,0,footwear sitting shoe shoulder
77,"clothing up and let_s groove. good times, new editorial for man. thank you @oliverkumbi",,190,0.046648662,64500,0.182254874,0.100891147,0,suit outerwear gentleman formal wear blazer
78,this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kid while they were wearing pajamas | life is better in pyjamas,,335,0.082248957,82500,0.2331167,0.142596054,1,shoulder outerwear joint girl product child mother daughter
79,is there anything better than a sleeping child? this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kids while they were wearing pyjamas.,,198,0.048612816,89100,0.251766036,0.129874104,1,photograph product textile bed sleep material infant comfort child
80,life is better in pyjamas | this is a collaboration with eight families from different countries worldwide. each family has shared with us some pictures of their kids while they were wearing pyjamas.,,770,0.18904984,209400,0.591692569,0.350106932,1,fur toddler wool product teddy bear child
81,retro fiction | polished and sophisticated looks with standard patterns,,283,0.069481954,72100,0.203729867,0.123181119,0,plaid blazer tartan suit outerwear gentleman jacket formal wear design pattern
84,next destination: the west | an approach to the classic mood of rodeo.collection,,158,0.038792045,77800,0.219836112,0.111209672,0,fashion accessory shoulder outerwear girl photo shoot neck pattern
85,"go rodeo | thiscollection editorial is a mix of blouses and clothinges in plaids and florals, heavyclothing,clothing, wideclothing and midi clothings.",,118,0.028971274,74300,0.209946313,0.10136129,0,photograph black and white standing monochrome photography snapshot gentleman outerwear vintage clothing monochrome stock photography
86,let_s rock the western trend | go rodeo! newcollection editorial. thank you @kirindejonckheere & @ansolet_rossouw,,225,0.055241836,71900,0.203164736,0.114410996,0,pink shoulder magenta outerwear product fashion girl textile t shirt
87,neutrals. style notes. updated outerwear | wear your classicclothing over yourclothingclothing. thank you @davidtrulik,,218,0.053523202,65100,0.183950268,0.105694028,0,coat overcoat trench coat gentleman woolen fashion model beige formal wear
89,"neutrals, style notes | combine your twill suitclothing with your suedeclothing for a cool and contemporary aesthetic. thank you @davidtrulik",,275,0.0675178,74700,0.211076575,0.12494131,0,outerwear jacket fashion model suit blazer beige collar coat gentleman sleeve
90,checkedclothings never get old | urban beats. new editorial,,120,0.029462313,79300,0.224074597,0.107307227,0,photograph black and white monochrome photography photography snapshot monochrome pattern stock photography
91,"the quiltedclothing | high neck, long sleeves, front piped pockets, metal eyelet detail with contrasting ribbons and contrasting lining. urban beats | new editorial",,208,0.051068009,101700,0.287369313,0.145588531,1,clothing outerwear pattern coat denim costume
92,short faux leatherclothing + shiny checkedclothing + faux leather mini clothing | it's urban beats! thank you @jean_campbell,,138,0.03388166,91700,0.259112744,0.123974093,0,black and white model fashion model monochrome photography photo shoot photography shoulder top monochrome long hair
93,season vibes | new baby editorial,,908,0.2229315,238600,0.674201752,0.403439601,1,clothing shoulder outerwear sleeve jeans pattern joint girl trousers pattern
94,dungaree and cosy baggyclothing |season vibes. baby editorial,,434,0.106555365,145300,0.410567957,0.228160402,1,wheelbarrow vehicle cart toddler play child grass product plant table
95,brothers and sisters inseason vibes. new baby editorial,,677,0.166216548,219100,0.619101441,0.347370505,1,child sitting toddler outerwear textile girl sleeve product material pattern
102,urban and cosy |season vibes in new boy capsule collection,,141,0.034618218,83800,0.236790054,0.115486952,0,mammal soil dog like mammal tree grass
103,cosy boy capsule collection | marble print sweatclothing collection,,218,0.053523202,114300,0.322972591,0.161302957,1,shoulder outerwear neck human behavior girl portrait photography
104,walking the dog | boy capsule collection now available,,176,0.043211392,101300,0.286239051,0.140422455,1,dog jacket dog like mammal outerwear jeans sweater textile sleeve snout neck
105,"this isclothing. a vary of washes, tones, shapes and styles allow it to be completely accesible whilst continually being renewed . thank you @samuel_worthen",,307,0.075374417,103800,0.293303193,0.162545927,1,denim outerwear jeans fashion formal wear sleeve jacket shoe suit
106,this isclothing | you_ll never have enough ofclothing | new man editorial,,146,0.035845814,68900,0.194687765,0.099382594,0,photograph person man black and white gentleman model male monochrome photography photography chin
107,a classic wardrobe mainstay for over 50 years and still more relevant than ever.clothing is still a staple for both the stylish & relaxed clothinger. thank you @andreassandby,,192,0.0471397,83900,0.237072619,0.123112868,0,denim sitting jeans shoe trousers photo shoot model furniture
108,playing outdoors | baby boy capsule collection,,307,0.075374417,136000,0.384289347,0.198940389,1,child outerwear girl boy product toddler smile portrait photography
109,baby boy capsule collection. in the great nature,,255,0.062607415,105100,0.296976547,0.156355068,1,t shirt outerwear neck sleeve product cool cap brand
110,let's go into the forest! baby boy capsule collection,,148,0.036336852,112400,0.317603843,0.148843649,1,tree plant grass forest jungle girl
111,floral prints meet plain colors in new woman editorial | 70's mood,,234,0.05745151,92700,0.261938401,0.139246266,1,clothing fashion model dress neck velvet day dress sleeve magenta model pattern
112,contemporary approach to 70's floral patterns | new woman editorial now available,,149,0.036582372,81200,0.229443346,0.113726761,0,outerwear shoulder photo shoot neck model girl pattern
113,throwback thursday | it's 70's inspired! woman editorial. thank you @giedre.dukauskaite,,220,0.05401424,101400,0.286521616,0.147017191,1,yellow shoulder outerwear textile neck pattern photo shoot sleeve
117,"l.a.,1958. croppedclothing, leatherclothings and white t-clothings: a uniform. man editorial | the pieces.",,166,0.040756199,62100,0.175473298,0.094643039,0,black and white gentleman fashion model photography fashion jacket model monochrome photography outerwear monochrome
119,"rome, 1962. sharp tailoring, modern silhouettes with a keen focus on detail and prints. new man editorial | the pieces",,197,0.048367297,95200,0.269002543,0.136621395,1,black and white model photography fashion model monochrome photography shoulder fashion outerwear photo shoot gentleman
120,the best match onclothing is moreclothing |collection editorial,,213,0.052295605,78200,0.220966375,0.119763913,0,photograph black and white sitting beauty standing model photography monochrome photography photo shoot shoulder
122,meet #clothing with @londonemyers in newcollection editorial. now available,,166,0.040756199,66800,0.188753885,0.099955274,0,headgear fashion accessory cap cool beanie hat denim
123,"hey kids, let's go back to school | new editorial now available",,168,0.041247238,89600,0.253178864,0.126019888,0,photograph facial expression black and white plaid photography sleeve smile boy monochrome photography outerwear
125,it's time to go back to school! the new editorial for kids is now available,,146,0.035845814,95500,0.26985024,0.129447584,0,photograph facial expression black and white photography monochrome photography smile shoulder photo shoot girl monochrome
129,the trench edit | several different ways to wear a trench. the punky look,,220,0.05401424,68500,0.193557502,0.109831545,0,clothing fashion model shoulder supermodel jeans outerwear waist model trousers abdomen
130,the trench edit | several different ways to wear a trench. the casual look. thank you @juliehoomans,,130,0.031917506,73900,0.20881605,0.102676923,0,sitting fashion model jeans denim shoe trousers
131,the trench edit | from the casual to the feminine chic look. several different ways to wear a trench. thank you @marjanjonkman,,212,0.052050086,68400,0.193274936,0.108540026,0,gentleman fashion outerwear costume formal wear
134,september is coming | back to work. monday-to-friday keys forseasonseason 2017 #editorial #collection thank you @riannevanrompaey,,242,0.059415664,105400,0.297824244,0.154779096,1,black photograph sitting black and white model beauty fashion model photo shoot shoulder photography
135,join life man sustainable editorial #season | renewable energies or reusing resources like water can help us produce garments in an eco-efficient way #collection #collection #editorial,,182,0.044684508,75000,0.211924272,0.111580414,0,photograph black and white monochrome photography headgear gentleman photography cap male fedora cool
136,join life man sustainable editorial #season | the combination of recycled materials and raw materials such us organic cotton or tencelî helps us to reduce our impact and take care of the environment #collection #collection #editorial,,115,0.028234716,50000,0.141282848,0.073453969,0,gentleman outerwear eyewear fashion sleeve suit cool vision care album cover blazer
137,join life man sustainable editorial #season | processes and materials that help us to take care of the environment #collection #collection #editorial thank you @frederikruegger,,148,0.036336852,61800,0.1746256,0.091652352,0,fashion suit outerwear shoe formal wear gentleman coat fashion design jeans model
138,uclothingia | key trends forseasonseason 2017. woman editorial #editorial #collection thank you @selenaforrest,,183,0.044930027,60400,0.170669681,0.095225888,0,clothing yellow outerwear coat formal wear robe
139,uclothingia | key trends forseasonseason 2017. woman editorial #editorial #collection thank you @selenaforrest,,191,0.046894181,69400,0.196100593,0.106576746,0,outerwear shoulder pattern long hair product pattern
140,uclothingia | key trends forseasonseason 2017. woman editorial #editorial #collection thank you @selenaforrest,,205,0.050331451,83800,0.236790054,0.124914892,0,yellow fashion model shoulder sleeve photo shoot neck beige
141,"the new flamboyant | nomad, new woman editorial #collection #editorial",,401,0.098453229,77700,0.219553546,0.146893356,1,purple fashion outerwear costume tradition socialite costume design formal wear fashion design pattern
143,opulent textures in the new woman editorial | nomad is now available online and in-stores #collection #editorial,,209,0.051313528,89200,0.252048601,0.131607557,1,fashion costume design pattern fashion design
144,good vibes only | baby girl capsule collection #collection,,538,0.132089369,164500,0.464820571,0.26518185,1,photograph yellow human hair color photography standing child girl outerwear blond human behavior
145,cozy jumpsuit for funny afternoons | baby girl capsule collection #collection,,294,0.072182666,125300,0.354054818,0.184931527,1,sitting sleeve child photography outerwear boy sweater toddler child model t shirt
146,it_s fun outside | new baby girl capsule collection #collection #editorial,,244,0.059906703,117600,0.332297259,0.168862925,1,beauty human hair color girl smile shoulder fashion accessory headgear neck outerwear cool
147,discover the newcollection editorial | mixed textures. thank you @michelle_gtk #zaracollection #editorial,,221,0.054259759,101700,0.287369313,0.147503581,1,girl stock photography
149,let_s play with mixed texture | newcollection editorial #zaracollection thank you @manuela_sanchez__,,152,0.03731893,65800,0.185928228,0.096762649,0,girl portrait photo shoot brown hair model
150,find your seat and get ready for the movie to start. all eyes on the big screen! #collection,,269,0.066044685,106600,0.301215032,0.160112824,1,red clothing outerwear girl shoulder fashion textile product jacket long hair
151,"buy your tickets for a movie, and don_t forget your popcorn | girls editorial #collection",,171,0.041983796,99400,0.280870302,0.137538398,1,shoulder outerwear textile girl product pattern smile beige
152,call your friends and meet them at the cinema | new editorial for girls #collection,,167,0.041001719,87900,0.248375247,0.12395113,0,eyewear red vision care glasses sunglasses cool girl square magenta smile
153,outerwear | 3. the blazer 8033/693 thank you @ezrapetronio,,282,0.069236435,61700,0.174343035,0.111279075,0,formal wear suit blazer shoulder outerwear tuxedo neck magenta jacket
155,outerwear | 1. the trench 0518/055 thank you @ezrapetronio,,138,0.03388166,71900,0.203164736,0.10159489,0,gentleman forehead necktie outerwear neck white collar worker portrait formal wear professional beige
156,"shape the invisible is a collaboration between zara and new talents emerging from some of the most important design schools. with recycling as the initial idea, zara gave the schools clothing from previous seasons, with which the students then created new garments adding their own design and vision. learn more at zara.com #shapetheinvisible",,254,0.062361895,60500,0.170952246,0.105798036,0,font product design collection light fixture
157,"shape the invisible is a collaboration between zara and new talents emerging from some of the most important design schools. with recycling as the initial idea, zara gave the schools clothing from previous seasons, with which the students then created new garments adding their own design and vision. learn more at zara.com #shapetheinvisible",,121,0.029707832,52600,0.148629556,0.077276522,0,lighting font product design light fixture
158,"shape the invisible is a collaboration between zara and new talents emerging from some of the most important design schools. with recycling as the initial idea, zara gave the schools clothing from previous seasons, with which the students then created new garments adding their own design and vision. learn more at zara.com #shapetheinvisible",,81,0.019887061,43500,0.122916078,0.061098668,0,light fixture product lighting font product design lamp brand
159,the minimalist edit | mandarin collarclothing 0071/296 + chinoclothing 2318/320 available online and selected stores #collection,,149,0.036582372,66800,0.188753885,0.097450977,0,shoulder outerwear suit formal wear
160,the minimalist edit | solid coloredclothing 1564/320 + solid coloredclothing 0070/296 + basic bermuda shorts 0706/398 + white sneakers with straps 5416/202 available online and selected stores #collection,,167,0.041001719,66100,0.186775925,0.099311401,0,shoe fashion model gentleman fashion outerwear sleeve shorts trousers neck
161,the minimalist edit | checked sweater 4566/300 + cropped chinoclothing 2318/322 + matte black leatherclothing 5027/202 available online and in selected stores #collection,,236,0.057942548,72700,0.205425261,0.116935634,0,khaki waist joint trousers beige active pants shoe human leg abdomen pocket
162,soft and jumpsuits | girls capsule collection #collection #season,,327,0.080284802,110300,0.311669963,0.172838867,1,fashion model shoulder supermodel leg thigh model joint photo shoot lingerie tights
164,soft and flowers | girls capsule collection now available #collection #aw7,,275,0.0675178,131600,0.371856457,0.189253263,1,clothing dress outerwear day dress design nightwear pattern pattern sleeve robe
168,stripedclothing with bows #collection #collection #season ref 7724/990 picture by @ezrapetronio,,204,0.050085932,95900,0.270980503,0.13844376,1,clothing shoulder purple sleeve neck outerwear blouse top pattern
169,the stripes | #collection long assymetric tunic ref 7778/617 #season #collection picture by @ezrapetronio,,155,0.038055487,72500,0.20486013,0.104777344,0,shoulder model fashion model photo shoot brown hair neck
170,this is #collection | printed t-clothing ref 5580/210 #collection #season picture by @ezrapetronio,,107,0.026270562,67400,0.190449279,0.091942049,0,t shirt forehead black hair product brown hair neck long hair hair coloring
171,the tweed | #collection #clothing ref 7772/603 #collection picture by @ezrapetronio,,103,0.025288485,55400,0.156541396,0.077789649,0,headgear neck hair accessory hat
172,this is #collection | long assymetric tunic ref 7778/617 #season #collection picture by @ezrapetronio,,93,0.022833292,65400,0.184797966,0.087619162,0,red product outerwear textile pattern clothes hanger pattern
173,suit but casual | this is #collection #softclothing ref 2753/222 #clothing 7901/222 #season picture by @ezrapetronio,,162,0.039774122,87700,0.247810116,0.12298852,0,clothing yellow eyewear outerwear fashion model vision care blazer coat top button
174,seasonseason 2017 kids campaign by @matteomontanariphotography art direction @ezrapetronio #collection #collection #season,,269,0.066044685,75900,0.214467364,0.125413756,0,plaid tartan outerwear pattern shoulder jacket design product sleeve neck
176,seasonseason 2017 campaign by willy vanderperre #collection #collection #season,,214,0.052541124,57400,0.16219271,0.096401759,0,fashion model fashion formal wear gentleman suit shoe runway blazer model fashion design
178,fallseason 2017 campaign by @stevenmeisel_ art direction by @fabienbaron stylist karl templer #collection #collection #season,,294,0.072182666,73800,0.208533484,0.126722993,0,black and white beauty monochrome photography photography fashion accessory headgear gentleman fashion monochrome model
183,city lights | pre-fall #season. embrace the lights of the city,,312,0.076602013,94400,0.266742018,0.152658015,1,dress outerwear fashion costume pattern pattern fashion design
184,city lights | discover our bright pre-fall collection now online and in stores #season,,228,0.055978394,68400,0.193274936,0.110897011,0,footwear shoe dress fashion outerwear pattern design tartan fashion design pattern
186,join life | baby girl sustainable collection. tencelî is derived from wood grown in sustainable forests that guarantee their reforestation #collection,,705,0.173091088,170200,0.480926815,0.296225379,1,clothing pink shoulder dress textile product child girl nightwear toddler
187,"join life | baby girl sustainable collection. organic cotton is grown using practices that help us to protect biodiversity, such as the use of natural fertilizers #collection",,141,0.034618218,95900,0.270980503,0.129163132,0,sitting child child model toddler photo shoot girl portrait photography
188,join life | baby girl sustainable collection. a selection of the best sustainable raw materials and processes that helps us to take care of the environment #collection,,376,0.092315247,141600,0.400113026,0.215434359,1,clothing shoulder sleeve joint child neck beige abdomen waist trousers
189,pink | fringe earrings #collection #season ref 4548/204,,236,0.057942548,75200,0.212489404,0.119761291,0,chin eyebrow cheek forehead neck black hair human wig lip hair coloring
191,the look | fringe earrings for a touch of color #collection ref 4319/203 #season,,228,0.055978394,92800,0.262220966,0.138475423,1,eyebrow chin lip cheek forehead neck black hair wig brown hair ear
192,this is #collection | doclothing #clothing ref 6855/019 and #clothing ref 6855/016 #zaracollection #season,,254,0.062361895,72400,0.204577564,0.119248163,0,photograph black and white photo shoot photography monochrome photography fashion model headgear model shoe fashion
193,this is #collection | timelessclothing #clothingclothing ref 5252/015 #shorts ref 9123/252 #zaracollection #season,,221,0.054259759,72800,0.205707827,0.114838986,0,clothing denim fashion model jeans fashion outerwear sleeve model fashion design
194,this is #collection |clothing +clothing #zaracollection check new items online and in-stores #season,,193,0.04738522,87500,0.247244984,0.127329126,0,clothing black and white fashion model sleeve outerwear fashion coat shirt monochrome photography dress shirt
198,it's time to play | girls editorial #collection #editorial,,525,0.128897618,151400,0.427804465,0.248460357,1,clothing sleeve t shirt shoulder joint outerwear product neck top girl
199,it's time to play | girls editorial #collection #editorial,,242,0.059415664,139800,0.395026844,0.193660136,1,yellow shoulder shoe neck outerwear joint product pattern
201,this is #collection | poplinclothing ref 7876/117 palazzoclothing ref 0594/040,,365,0.089614535,94700,0.267589715,0.160804607,1,clothing day dress shoulder dress fashion model joint fashion sleeve outerwear neck
202,this is #collection | clothing ref 5580/160,,501,0.123005156,133100,0.376094942,0.22424107,1,clothing t shirt shoulder sleeve dress joint neck product
203,this is #collection #clothing ref 2660/797 #bag ref 6304/205,,329,0.080775841,87900,0.248375247,0.147815603,1,white bag yellow handbag shoulder fashion outerwear pattern shoe
204,the polka dot | #zaracollection t-clothing ref 5039/101,,406,0.099680825,80900,0.228595648,0.151246754,1,fashion model black and white shoulder fashion design pattern joint trunk abdomen fashion design
206,this is #collection | the timeless polka dot #tclothing ref 0264/288,,197,0.048367297,79000,0.2232269,0.118311138,0,black and white shoulder pattern design monochrome photography polka dot fashion monochrome photo shoot retro style
207,it_s time to play | new editorial for kids #collection #editorial,,237,0.058188068,79400,0.224357163,0.124655706,0,photograph shoulder standing product shoe joint furniture
208,it_s time to play | new editorial for kids #editorial #collection,,198,0.048612816,89100,0.251766036,0.129874104,1,clothing t shirt shoulder denim textile jeans sleeve outerwear product fashion
209,it_s time to play | new editorial for kids #collection #editorial,,173,0.042474834,87600,0.24752755,0.124495921,0,hair photograph facial expression microphone smile emotion fun laughter outerwear sunglasses
210,tricolor plaited tote bag 4041/204,,469,0.115148539,119500,0.337666007,0.204155526,1,fashion model shoulder neck tartan sleeve pattern nightwear retro style plaid handbag
211,vinyl high heel sandals for this season ref 6552/201 and striped palazzoclothing ref 9878/024,,512,0.125705868,142400,0.402373552,0.236372941,1,pink shoulder day dress waist joint peach trunk neck abdomen pattern
212,ready for the weekend? more accessories online and in-stores #itsfriday ref 4373/039,,344,0.08445863,91100,0.25741735,0.153642118,1,hat sun hat headgear fashion accessory fedora cowboy hat
213,upcycled fabrics | recycled polyester is made from recovered plastic bottles #collection #collection #careforfiber,,179,0.04394795,76400,0.215880192,0.112720847,0,footwear shoe shoulder joint outerwear neck sleeve shorts human leg beige
214,sustainable raw materials | recycled cotton is made from residue collected from the cutting processes #collection #collection #careforfiber,,152,0.03731893,82500,0.2331167,0.115638038,0,sleeve outerwear shoulder neck t shirt headgear jeans trousers pocket cap
216,young and resolute | newcollection editorial. mariana wears graphic t-clothing #zaracollection #editorial,,248,0.06088878,98600,0.278609777,0.147977179,1,clothing t shirt black and white shoulder sleeve joint neck model monochrome photography muscle
218,young and resolute | newcollection editorial. cara wears oversized text t-clothing #zaracollection #editorial,,140,0.034372698,71800,0.20288217,0.101776487,0,t shirt white black and white shoulder joint sleeve fashion fashion model monochrome photography neck
219,season holidays | one day at the swimming pool #collection #editorial,,278,0.068254358,113500,0.320712066,0.169237441,1,clothing swimwear aqua turquoise shorts shoulder one piece swimsuit fashion model swimsuit top t shirt
220,season holidays | kids editorial #collection,,136,0.033390621,69100,0.195252896,0.098135531,0,cap headgear beanie outerwear hair accessory hat
